timestamp,mode,trial_id,instruction,group,target_key,policy,goal_source,waypoint_count,waypoints,target_x,target_y,target_yaw,planned_path_length_m,nav_result,duration_sec,trajectory_length_m,final_pose_source,final_x,final_y,final_yaw,final_navigation_error_m,physical_arrival,success_radius_m,timeout,stuck,recovery_count,amcl_odom_disagreement_m,goal_center_state,goal_free_ratio,goal_safe
2026-07-02 13:24:57,mock,1,Go to the plant.,near,plant,object_center,object_center,1,"-0.430,-2.920,0.000",-0.43,-2.92,0.0,2.951,mock_not_run,,2.951,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,1,Go to the plant.,near,plant,observation_pose,observation_pose,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,1,Go to the plant.,near,plant,waypoint_sequence,waypoint_sequence,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,2,Navigate to the green plant near the chair.,near,plant,object_center,object_center,1,"-0.430,-2.920,0.000",-0.43,-2.92,0.0,2.951,mock_not_run,,2.951,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,2,Navigate to the green plant near the chair.,near,plant,observation_pose,observation_pose,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,2,Navigate to the green plant near the chair.,near,plant,waypoint_sequence,waypoint_sequence,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,3,Go to the black office chair.,near,chair,object_center,object_center,1,"-0.540,-0.690,1.570",-0.54,-0.69,1.57,0.876,mock_not_run,,0.876,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,3,Go to the black office chair.,near,chair,observation_pose,observation_pose,1,"0.200,-0.690,3.142",0.2,-0.69,3.142,0.718,mock_not_run,,0.718,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,3,Go to the black office chair.,near,chair,waypoint_sequence,waypoint_sequence,1,"0.200,-0.690,3.142",0.2,-0.69,3.142,0.718,mock_not_run,,0.718,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,4,Go to the purple boxes.,long,shelf_package_area,object_center,object_center,1,"-6.780,10.960,0.000",-6.78,10.96,0.0,12.888,mock_not_run,,12.888,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,4,Go to the purple boxes.,long,shelf_package_area,observation_pose,observation_pose,1,"-6.300,10.800,3.142",-6.3,10.8,3.142,12.503,mock_not_run,,12.503,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,4,Go to the purple boxes.,long,shelf_package_area,waypoint_sequence,waypoint_sequence,3,"-1.200,3.200,1.950;-3.800,7.200,2.150;-6.300,10.800,3.142",-6.3,10.8,3.142,12.571,mock_not_run,,12.571,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,5,Move to the right shelf with purple boxes.,long,shelf_package_area,object_center,object_center,1,"-6.780,10.960,0.000",-6.78,10.96,0.0,12.888,mock_not_run,,12.888,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,5,Move to the right shelf with purple boxes.,long,shelf_package_area,observation_pose,observation_pose,1,"-6.300,10.800,3.142",-6.3,10.8,3.142,12.503,mock_not_run,,12.503,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,5,Move to the right shelf with purple boxes.,long,shelf_package_area,waypoint_sequence,waypoint_sequence,3,"-1.200,3.200,1.950;-3.800,7.200,2.150;-6.300,10.800,3.142",-6.3,10.8,3.142,12.571,mock_not_run,,12.571,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,6,Move to the package area.,long,shelf_package_area,object_center,object_center,1,"-6.780,10.960,0.000",-6.78,10.96,0.0,12.888,mock_not_run,,12.888,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,6,Move to the package area.,long,shelf_package_area,observation_pose,observation_pose,1,"-6.300,10.800,3.142",-6.3,10.8,3.142,12.503,mock_not_run,,12.503,mock,,,,,,0.8,False,False,0,,free,1.0,True
2026-07-02 13:24:57,mock,6,Move to the package area.,long,shelf_package_area,waypoint_sequence,waypoint_sequence,3,"-1.200,3.200,1.950;-3.800,7.200,2.150;-6.300,10.800,3.142",-6.3,10.8,3.142,12.571,mock_not_run,,12.571,mock,,,,,,0.8,False,False,0,,free,1.0,True
