timestamp,mode,trial_id,instruction,group,target_key,policy,goal_source,candidate_count,candidate_selected_index,candidate_selection_reason,candidate_poses,candidate_safety,candidate_path_diagnostics,selected_candidate_path_length_m,route_planner_result,route_planner_path_length_m,route_execution_mode,planner_start_source,planner_start_x,planner_start_y,planner_start_yaw,waypoint_count,waypoints,target_x,target_y,target_yaw,planned_path_length_m,nav_result,duration_sec,trajectory_length_m,spl,final_pose_source,final_x,final_y,final_yaw,amcl_x,amcl_y,amcl_yaw,final_navigation_error_m,physical_arrival,success_radius_m,timeout,stuck,recovery_count,waypoint_status,amcl_odom_disagreement_m,cmd_vel_nav_count,cmd_vel_nav_nonzero_count,cmd_vel_nav_max_linear_x,cmd_vel_nav_max_angular_z,cmd_vel_count,cmd_vel_nonzero_count,cmd_vel_max_linear_x,cmd_vel_max_angular_z,goal_center_state,goal_free_ratio,goal_safe
2026-07-06 12:46:39,mock,1,Go to the plant.,near,plant,object_center,object_center,0,-1,,,,,,,,,,,,,1,"-0.430,-2.920,0.000",-0.43,-2.92,0.0,2.951,mock_not_run,,2.951,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,1,Go to the plant.,near,plant,observation_pose,observation_pose,0,-1,,,,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,1,Go to the plant.,near,plant,candidate_observation_pose,candidate_observation_pose:first_safe,4,0,first_static_safe:0,"0.350,-2.920,3.142;-0.450,-2.150,-1.545;-1.050,-2.920,0.000;0.000,-3.550,2.170",0:center=free:free=1.0:safe=True;1:center=free:free=0.752:safe=False;2:center=free:free=1.0:safe=True;3:center=free:free=1.0:safe=True,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,1,Go to the plant.,near,plant,waypoint_sequence,waypoint_sequence,0,-1,,,,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,2,Navigate to the green plant near the chair.,near,plant,object_center,object_center,0,-1,,,,,,,,,,,,,1,"-0.430,-2.920,0.000",-0.43,-2.92,0.0,2.951,mock_not_run,,2.951,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,2,Navigate to the green plant near the chair.,near,plant,observation_pose,observation_pose,0,-1,,,,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,2,Navigate to the green plant near the chair.,near,plant,candidate_observation_pose,candidate_observation_pose:first_safe,4,0,first_static_safe:0,"0.350,-2.920,3.142;-0.450,-2.150,-1.545;-1.050,-2.920,0.000;0.000,-3.550,2.170",0:center=free:free=1.0:safe=True;1:center=free:free=0.752:safe=False;2:center=free:free=1.0:safe=True;3:center=free:free=1.0:safe=True,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,2,Navigate to the green plant near the chair.,near,plant,waypoint_sequence,waypoint_sequence,0,-1,,,,,,,,,,,,,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,mock_not_run,,2.941,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,3,Go to the black office chair.,near,chair,object_center,object_center,0,-1,,,,,,,,,,,,,1,"-0.540,-0.690,1.570",-0.54,-0.69,1.57,0.876,mock_not_run,,0.876,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
2026-07-06 12:46:39,mock,3,Go to the black office chair.,near,chair,observation_pose,observation_pose,0,-1,,,,,,,,,,,,,1,"0.200,-0.690,3.142",0.2,-0.69,3.142,0.718,mock_not_run,,0.718,,mock,,,,,,,,,0.8,False,False,0,,,,,,,,,,,free,1.0,True
